area_code,area,item_code,item,element_code,element,unit,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018
173,Poland,221,"Almonds, with shell",5312,Area harvested,ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
173,Poland,221,"Almonds, with shell",5510,Production,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
173,Poland,711,"Anise, badian, fennel, coriander",5312,Area harvested,ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Poland,711,"Anise, badian, fennel, coriander",5510,Production,tonnes,3400,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Poland,515,Apples,5312,Area harvested,ha,,,,,,,,,,,,,,,154000,123000,76000,101000,103000,91500,112000,127000,135000,138000,145000,162000,165000,157800,165236,165098,166408,168456,159278,175206,169650,161989,175595,171963,173607,170443,183526,194680,193439,176335,180399,177203,176352,166150
173,Poland,515,Apples,5419,Yield,hg/ha,,,,,,,,,,,,,,,87217,156102,66372,137915,127381,88780,102281,123598,136426,104429,88848,120464,127170,106922,97087,87849,146263,128670,152422,143917,122308,142287,59225,164609,151277,110178,135843,147798,159486,181206,175656,203398,138439,240717
173,Poland,515,Apples,5510,Production,tonnes,563200,558500,682500,594300,840722,1160890,911928,1030343,1050671,844106,779693,2125690,1729491,1564430,1343142,1920051,504428,1392946,1312026,812340,1145544,1569690,1841755,1441124,1288289,1951515,2098297,1687226,1604221,1450376,2433940,2167518,2427753,2521514,2074951,2304892,1039967,2830658,2626273,1877906,2493078,2877336,3085074,3195299,3168818,3604271,2441393,3999520
173,Poland,526,Apricots,5312,Area harvested,ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1678,2613,1926,1655,1720,1469,1501,1638,1670,1821,1667,1692,1663,1405,1286,1110,1078,1049,970
173,Poland,526,Apricots,5419,Yield,hg/ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21053,22050,22197,22030,28967,28308,21498,16309,6569,24557,28797,20252,23783,20613,29324,28989,33243,28506,12726,37113
173,Poland,526,Apricots,5510,Production,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,3700,5800,4243,4794,4869,3158,2448,1076,4101,5244,3376,4024,3428,4120,3728,3690,3073,1335,3600
173,Poland,366,Artichokes,5312,Area harvested,ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Poland,366,Artichokes,5510,Production,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Poland,367,Asparagus,5312,Area harvested,ha,,,,,,,,,,,,,,,,,,,,200,184,158,206,188,198,208,197,143,220,231,213,194,250,220,200,215,215,215,197,207,250,165,182,229,218,204,204,1950
173,Poland,367,Asparagus,5419,Yield,hg/ha,,,,,,,,,,,,,,,,,,,,110000,107826,107595,106796,106383,106061,105769,105279,104895,104545,103896,103286,103093,100000,103227,100000,105256,106558,107860,106599,106280,108000,151515,141154,131703,131239,134853,136863,64872
173,Poland,367,Asparagus,5510,Production,tonnes,,,,,,,,,,,,,,,,,,,,2200,1984,1700,2200,2000,2100,2200,2074,1500,2300,2400,2200,2000,2500,2271,2000,2263,2291,2319,2100,2200,2700,2500,2569,3016,2861,2751,2792,12650
173,Poland,572,Avocados,5312,Area harvested,ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
173,Poland,572,Avocados,5510,Production,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
173,Poland,486,Bananas,5312,Area harvested,ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
173,Poland,486,Bananas,5510,Production,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
173,Poland,44,Barley,5312,Area harvested,ha,899000,1017000,1083000,1230300,1335100,1210035,1235387,1202512,1469794,1322343,1294230,1236611,1098951,1054429,1242287,1335306,1285712,1250253,1174748,1174113,1237389,1197899,1167693,1031953,1047578,1129754,1241996,1137556,1107456,1095998,1071154,1050714,1016150,1013903,1113143,1220596,1232373,1206560,1157000,970693,1018000,1160600,819994,808280,839265,915321,953784,975740
173,Poland,44,Barley,5419,Yield,hg/ha,27259,27040,29166,31769,27252,29894,27492,30232,25383,25861,27348,29493,29679,33715,32890,33040,33714,30428,33272,35920,34404,23531,27873,26026,31297,30419,31128,31749,30711,25396,31092,32072,27865,35218,32172,25898,32523,29998,34433,34997,32671,36018,35776,40516,35277,37594,39768,30659
173,Poland,44,Barley,5510,Production,tonnes,2450600,2750000,3158700,3908500,3638400,3617324,3396333,3635482,3730772,3419702,3539515,3647133,3261618,3554994,4085942,4411842,4334611,3804241,3908673,4217418,4257098,2818788,3254717,2685786,3278613,3436598,3866103,3611680,3401107,2783359,3330484,3369850,2831485,3570787,3581156,3161041,4008096,3619460,3983900,3397171,3325900,4180200,2933579,3274826,2960662,3441090,3793032,2991560
