Year,Nitrous oxide emissions (thousand metric tons of CO2 equivalent)
1971,37691.04
1972,38576.71
1973,43345.13
1974,45306.19
1975,46495.35
1976,45570.62
1977,45052.3
1978,45157.7
1979,43692.33
1980,42734.12
1981,39221.51
1982,38505.41
1983,38738.53
1984,37945.55
1985,36851.87
1986,37214.88
1987,36149.1
1988,36435.54
1989,35743
1990,24920
1991,24010
1992,23110
1993,23780
1994,24040
1995,24550
1996,24600
1997,25110
1998,23650
1999,23270
2000,23720
2001,23500
2002,23040
2003,23670
2004,23760
2005,24590
2006,24670
2007,25570
2008,24350
2009,21020
2010,21740
2011,21420
2012,21890
2013,21030
2014,20500
2015,20680
2016,21620
2017,21550
2018,21480
