,Year,Nitrous.oxide.emissions..thousand.metric.tons.of.CO2.equivalent.,Cereals..Total,Potatoes
1,1971,37691.04,28346210,42619605
2,1972,38576.71,28911646,51574900
3,1973,43345.13,30132506,54800486
4,1974,45306.19,31093909,51383477
5,1975,46495.35,27446629,49189801
6,1976,45570.62,28658665,52619664
7,1977,45052.3,27424996,43753114
8,1978,45157.7,29416690,49205199
9,1979,43692.33,25234198,52215644
10,1980,42734.12,26205947,28846878
11,1981,39221.51,27652185,45007846
12,1982,38505.41,29286687,34275102
13,1983,38738.53,30231578,36848148
14,1984,37945.55,32581375,39758139
15,1985,36851.87,31975403,38815660
16,1986,37214.88,33303737,41240456
17,1987,36149.1,34473651,38373742
18,1988,36435.54,32972378,36758580
19,1989,35743,35366606,36433994
20,1990,24920,36577197,38345977
21,1991,24010,36559688,30938420
22,1992,23110,28307266,25278166
23,1993,23780,31950781,38237224
24,1994,24040,30270087,24890640
25,1995,24550,34506752,26577192
26,1996,24600,34046935,28761810
27,1997,25110,34327440,22241111
28,1998,23650,36033151,27444051
29,1999,23270,34481217,21351732
30,2000,23720,31179589,25676761
31,2001,23500,35811818,20735362
32,2002,23040,35203080,16519440
33,2003,23670,31582668,14676587
34,2004,23760,38047796,14908170
35,2005,24590,35289159,11133730
36,2006,24670,30183042,9729600
37,2007,25570,35528166,12567678
38,2008,24350,36295275,11201591
39,2009,21020,38443994,10401770
40,2010,21740,34860982,9059714
41,2011,21420,34604733,9998625
42,2012,21890,36285230,9708651
43,2013,21030,35972650,7847185
44,2014,20500,39473069,8243768
45,2015,20680,35551856,6824231
46,2016,21620,37289822,9468645
47,2017,21550,39568956,9779559
48,2018,21480,34121557,7854226
