"Anise, badian, fennel, coriander",Apples,Apricots,Asparagus,Barley,"Beans, dry","Beans, green",Berries nes,Blueberries,"Broad beans, horse beans, dry",Buckwheat,Cabbages and other brassicas,Carrots and turnips,Cauliflowers and broccoli,Cereals nes,"Cereals, Total",Cherries,"Cherries, sour",Chestnut,Chicory roots,"Chillies and peppers, green",Cucumbers and gherkins,Currants,Fibre Crops Primary,Flax fibre and tow,Fruit Primary,"Fruit, fresh nes","Fruit, stone nes",Garlic,Gooseberries,"Grain, mixed",Grapes,"Hazelnuts, with shell",Hemp tow waste,Hempseed,Hops,"Leeks, other alliaceous vegetables",Lettuce and chicory,Linseed,Lupins,Maize,"Maize, green",Millet,Mushrooms and truffles,Nuts nes,Oats,Oilcrops,"Oilcrops, Cake Equivalent","Oilcrops, Oil Equivalent",Oilseeds nes,"Onions, dry",Peaches and nectarines,Pears,"Peas, dry","Peas, green",Plums and sloes,Potatoes,Pulses nes,"Pulses, Total","Pumpkins, squash and gourds",Rapeseed,Raspberries,"Roots and Tubers, Total",Rye,Soybeans,Spinach,Strawberries,String beans,Sugar Crops Primary,Sugar beet,Sunflower seed,"Tobacco, unmanufactured",Tomatoes,"Treenuts, Total",Triticale,Vegetables Primary,"Vegetables, fresh nes","Vegetables, leguminous nes",Vetches,"Walnuts, with shell",Wheat
3400.0,563200.0,0.0,0.0,3376859.0,76417.0,0.0,0.0,0.0,0.0,114596.0,1626498.0,598333.0,247727.0,0.0,28346210.0,19700.0,20300.0,0.0,15000.0,0.0,492764.0,48609.0,192013.0,166250.0,1383689.0,26000.0,5100.0,0.0,21465.0,1252038.0,0.0,0.0,33585.0,11667.0,11808.0,0.0,0.0,182963.0,230474.0,44431.0,0.0,53778.0,4802.0,0.0,4549023.0,1219052.0,934228.0,768668.0,76889.0,489527.0,0.0,100900.0,129941.0,0.0,131400.0,42619605.0,162235.0,620619.0,0.0,972959.0,36650.0,42619605.0,11559094.0,0.0,0.0,172797.0,0.0,13276179.0,13276179.0,0.0,128667.0,500865.0,0.0,0.0,3956742.0,846583.0,0.0,76706.0,0.0,7542678.0
0.0,558500.0,0.0,0.0,3794040.0,71783.0,0.0,0.0,0.0,0.0,89048.0,1619861.0,699909.0,269000.0,0.0,28911646.0,11700.0,26700.0,0.0,20000.0,0.0,657069.0,49454.0,183586.0,159092.0,1308389.0,21200.0,3000.0,0.0,22066.0,1559611.0,0.0,0.0,32533.0,11667.0,14715.0,0.0,0.0,167039.0,190310.0,42071.0,0.0,45000.0,9207.0,0.0,4594930.0,906461.0,700909.0,581566.0,30430.0,507227.0,0.0,86500.0,119766.0,0.0,126400.0,51574900.0,167020.0,558291.0,0.0,721297.0,38753.0,51574900.0,11715298.0,0.0,0.0,159893.0,0.0,15106420.0,15106420.0,0.0,137291.0,573828.0,0.0,0.0,4075383.0,835717.0,0.0,62621.0,0.0,7219635.0
0.0,682500.0,0.0,0.0,4270866.0,64789.0,0.0,0.0,0.0,0.0,82730.0,1816323.0,712361.0,263000.0,0.0,30132506.0,26400.0,25500.0,0.0,20000.0,0.0,632950.0,72776.0,147395.0,127105.0,1552997.0,27700.0,9300.0,0.0,27095.0,1829046.0,0.0,0.0,28018.0,14000.0,18108.0,0.0,0.0,134898.0,171333.0,53643.0,0.0,43100.0,2492.0,0.0,4517538.0,993812.0,759797.0,625826.0,30001.0,532779.0,0.0,76800.0,111333.0,0.0,107800.0,54800486.0,168216.0,521850.0,0.0,843633.0,56991.0,54800486.0,11708005.0,0.0,0.0,250819.0,0.0,14416149.0,14416149.0,0.0,142536.0,548329.0,0.0,0.0,4497323.0,953080.0,0.0,62000.0,0.0,7797799.0
0.0,594300.0,0.0,0.0,5170569.0,36000.0,0.0,0.0,0.0,0.0,82290.0,1797062.0,622379.0,246711.0,0.0,31093909.0,11200.0,24900.0,0.0,23000.0,0.0,348925.0,78049.0,148730.0,123854.0,1421301.0,13400.0,2600.0,0.0,30684.0,1977818.0,0.0,0.0,32921.0,14000.0,15000.0,0.0,0.0,119313.0,194279.0,64126.0,0.0,36000.0,7574.0,0.0,4453445.0,938820.0,702670.0,568203.0,33919.0,513809.0,0.0,62600.0,82769.0,0.0,138000.0,51383477.0,242347.0,572304.0,0.0,801179.0,53187.0,51383477.0,11044220.0,0.0,0.0,255170.0,0.0,13705762.0,13705762.0,0.0,129694.0,327177.0,0.0,0.0,3939515.0,871207.0,0.0,70000.0,0.0,8442607.0
0.0,840722.0,0.0,0.0,5000752.0,28859.0,0.0,0.0,0.0,0.0,60243.0,1861550.0,626102.0,271151.0,0.0,27446629.0,21949.0,18938.0,0.0,28000.0,0.0,665361.0,89786.0,170943.0,147446.0,1718979.0,18600.0,6100.0,0.0,25948.0,1983664.0,0.0,0.0,32824.0,8312.0,16508.0,0.0,0.0,120239.0,144127.0,147092.0,0.0,28253.0,3700.0,0.0,4233964.0,1202325.0,883945.0,704445.0,40871.0,493081.0,0.0,81642.0,81099.0,0.0,114546.0,49189801.0,237612.0,501360.0,0.0,1058765.0,68101.0,49189801.0,9084426.0,0.0,0.0,240415.0,0.0,16519461.0,16519461.0,0.0,173004.0,585853.0,0.0,0.0,4610881.0,1021217.0,0.0,52600.0,0.0,7076864.0
0.0,1160890.0,0.0,0.0,4857253.0,33956.0,0.0,0.0,0.0,0.0,84348.0,1742649.0,610614.0,278513.0,0.0,28658665.0,45129.0,41067.0,0.0,35000.0,0.0,406223.0,93329.0,167469.0,145540.0,2285099.0,23900.0,11100.0,0.0,26553.0,2230139.0,0.0,0.0,30991.0,11528.0,15881.0,0.0,0.0,140704.0,147107.0,327258.0,0.0,0.0,7000.0,0.0,3833625.0,1567616.0,1142239.0,902796.0,42259.0,491125.0,0.0,104560.0,82286.0,0.0,209157.0,52619664.0,181699.0,440601.0,0.0,1402052.0,49722.0,52619664.0,9879599.0,0.0,0.0,234582.0,0.0,15934013.0,15934013.0,0.0,205361.0,529320.0,0.0,0.0,4285101.0,1061762.0,0.0,43447.0,0.0,7608323.0
0.0,911928.0,0.0,0.0,4659212.0,50512.0,0.0,0.0,0.0,0.0,83205.0,1819132.0,768801.0,300354.0,0.0,27424996.0,32991.0,36117.0,0.0,55533.0,0.0,491713.0,130632.0,129591.0,104311.0,2016785.0,15600.0,13526.0,0.0,23244.0,2276602.0,0.0,0.0,38118.0,6872.0,15422.0,0.0,0.0,106375.0,136078.0,329884.0,0.0,0.0,15000.0,0.0,3671446.0,1253006.0,943813.0,769525.0,36572.0,549796.0,0.0,137656.0,74462.0,0.0,147045.0,43753114.0,141495.0,396192.0,0.0,1125287.0,55554.0,43753114.0,9385292.0,0.0,0.0,268409.0,0.0,16466077.0,16466077.0,0.0,158278.0,287022.0,0.0,0.0,4360026.0,1118689.0,0.0,39093.0,0.0,7171078.0
0.0,1030343.0,0.0,0.0,4868226.0,76176.0,0.0,0.0,0.0,0.0,128544.0,2200622.0,846521.0,290882.0,0.0,29416690.0,23868.0,35353.0,0.0,94400.0,0.0,327136.0,110785.0,173183.0,149980.0,2103949.0,7200.0,12186.0,0.0,29725.0,2440210.0,0.0,0.0,39551.0,7147.0,12426.0,0.0,0.0,141480.0,130014.0,188576.0,0.0,0.0,24000.0,0.0,3545401.0,1227420.0,915645.0,738103.0,54802.0,626348.0,0.0,85678.0,114323.0,0.0,176518.0,49205199.0,153249.0,447840.0,0.0,1048499.0,62196.0,49205199.0,10488713.0,0.0,0.0,291976.0,0.0,16529999.0,16529999.0,0.0,116173.0,242379.0,0.0,0.0,4996975.0,1352426.0,0.0,30609.0,0.0,7914251.0
0.0,1050671.0,0.0,0.0,5225949.0,82187.0,0.0,0.0,0.0,0.0,180442.0,1809365.0,842327.0,306813.0,0.0,25234198.0,32100.0,37568.0,0.0,50505.0,0.0,683567.0,151393.0,176799.0,171673.0,2166971.0,7900.0,13098.0,0.0,34942.0,2551967.0,0.0,0.0,17807.0,6026.0,14713.0,0.0,0.0,139722.0,84237.0,266695.0,0.0,0.0,22000.0,0.0,3300213.0,609065.0,489187.0,418497.0,57483.0,497510.0,0.0,108563.0,122632.0,0.0,145247.0,52215644.0,143201.0,414768.0,0.0,427263.0,63463.0,52215644.0,8087372.0,0.0,0.0,281235.0,0.0,14919596.0,14919596.0,0.0,134384.0,654290.0,0.0,0.0,5188668.0,1385671.0,0.0,32745.0,0.0,5763497.0
0.0,844106.0,0.0,0.0,4767906.0,77087.0,0.0,0.0,0.0,0.0,233127.0,1637836.0,770563.0,288390.0,0.0,26205947.0,25166.0,41945.0,0.0,34172.0,0.0,343665.0,111957.0,145974.0,137572.0,1867329.0,2800.0,12650.0,0.0,37023.0,2533626.0,0.0,0.0,19086.0,4121.0,10945.0,0.0,0.0,114394.0,101809.0,109551.0,0.0,0.0,26000.0,0.0,3264547.0,1046432.0,796558.0,655906.0,34307.0,442929.0,0.0,80416.0,110791.0,0.0,210270.0,28846878.0,127808.0,403237.0,0.0,909958.0,50180.0,28846878.0,9627043.0,0.0,0.0,268635.0,0.0,10819248.0,10819248.0,0.0,118825.0,269707.0,0.0,0.0,4291344.0,1290156.0,0.0,27687.0,0.0,5810066.0
